typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,isAltQtyEstimated,netWgt,isNetWgtEstimated,isGrossWgtEstimated,cifvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,196.302,False,15,False,196.3,False,False,11534493.5,11534493.5,0,True,False
C,A,20220101,2022,52,2022,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.228,False,15,False,3.0,False,False,176151.869,176151.869,0,False,True
C,A,20220101,2022,52,2022,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,9900,Other,8,kg,3.228,False,15,False,3.0,False,False,176151.869,176151.869,0,False,True
C,A,20220101,2022,52,2022,410,KOR,Rep. of Korea,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.55,False,8,False,0.55,False,False,32726.0,32726.0,0,True,False
C,A,20220101,2022,52,2022,616,POL,Poland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.544,False,15,False,1.0,False,False,29307.0,29307.0,0,True,False
C,A,20160101,2016,52,2016,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45.329,False,15,False,45.0,False,False,1580206.639,1580206.639,0,True,False
C,A,20160101,2016,52,2016,702,SGP,Singapore,M,Import,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50.0,False,8,False,50.0,False,False,522504.961,522504.961,0,True,False
C,A,20230101,2023,52,2023,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.992,False,15,False,10.0,False,False,553435.882,553435.882,0,True,False
C,A,20230101,2023,52,2023,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.423,False,15,False,155.0,False,False,8211424.217,8211424.217,0,True,False
C,A,20230101,2023,52,2023,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155.423,False,15,False,155.0,False,False,8211424.217,8211424.217,0,True,False
C,A,20230101,2023,52,2023,562,NER,Niger,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,8,False,2.0,False,False,26241.959,26241.959,0,True,False
C,A,20230101,2023,52,2023,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1934.0,False,8,False,1934.0,False,False,98588316.385,98588316.385,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,56586.0,False,8,False,56586.0,False,False,2982693373.462,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7670.146,True,-1,False,7670.146,True,False,471267549.707,471267549.707,6,True,False
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,56586.0,False,8,False,56586.0,False,False,2982693373.462,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,56586.0,False,8,False,56586.0,False,False,2982693373.462,2982693373.462,0,False,True
C,A,20230101,2023,52,2023,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,56586.0,False,8,False,56586.0,False,False,2982693373.462,2982693373.462,0,True,False
C,A,20230101,2023,52,2023,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1560.861,False,15,False,1561.0,False,False,97818332.55,97818332.55,0,True,False
C,A,20240101,2024,52,2024,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,569.0,False,8,False,569.0,False,False,26785782.86,26785782.86,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49627.0,False,8,False,49627.0,False,False,3157501476.828,3157501476.828,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,49627.0,False,8,False,49627.0,False,False,3157501476.828,3157501476.828,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,49627.0,False,8,False,49627.0,False,False,3157501476.828,3157501476.828,0,False,True
C,A,20240101,2024,52,2024,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,49627.0,False,8,False,49627.0,False,False,3157501476.828,3157501476.828,0,True,False
C,A,20220101,2022,52,2022,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61458.0,False,8,False,61458.0,False,False,3023257714.557,3023257714.557,0,False,True
C,A,20220101,2022,52,2022,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8933.81,False,8,False,8933.81,False,False,445676992.456,445676992.456,0,True,False
C,A,20220101,2022,52,2022,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,61458.0,False,8,False,61458.0,False,False,3023257714.557,3023257714.557,0,False,True
C,A,20220101,2022,52,2022,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,61458.0,False,8,False,61458.0,False,False,3023257714.557,3023257714.557,0,False,True
C,A,20220101,2022,52,2022,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,61458.0,False,8,False,61458.0,False,False,3023257714.557,3023257714.557,0,True,False
C,A,20220101,2022,52,2022,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.535,False,15,False,11.0,False,False,546054.0,546054.0,0,False,True
C,A,20220101,2022,52,2022,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,10.535,False,15,False,11.0,False,False,546054.0,546054.0,0,False,True
C,A,20220101,2022,52,2022,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,0,TOTAL MOT,8,kg,10.535,False,15,False,11.0,False,False,546054.0,546054.0,0,False,True
C,A,20220101,2022,52,2022,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,1000,Air,8,kg,10.535,False,15,False,11.0,False,False,546054.0,546054.0,0,False,True
C,A,20220101,2022,52,2022,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7.8,False,8,False,7.8,False,False,410100.301,410100.301,0,True,False
C,A,20220101,2022,52,2022,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,236.848,False,15,False,237.0,False,False,11829328.064,11829328.064,0,True,False
C,A,20220101,2022,52,2022,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,236.848,False,15,False,237.0,False,False,11829328.064,11829328.064,0,True,False
C,A,20220101,2022,52,2022,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,653.0,False,8,False,653.0,False,False,31163211.669,31163211.669,0,True,False
C,A,20210101,2021,52,2021,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1076.087,False,15,False,1071.0,False,False,61754082.8,61754082.8,0,True,False
C,A,20180101,2018,52,2018,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,438.0,False,15,False,438.0,False,False,15964993.0,15964993.0,0,False,True
C,A,20180101,2018,52,2018,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,438.0,False,15,False,438.0,False,False,15964993.0,15964993.0,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,79.618,False,15,False,79.61,False,False,2845371.231,2845371.231,0,True,False
C,A,20190101,2019,52,2019,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.922,False,15,False,4.0,False,False,147275.589,147275.589,0,True,False
C,A,20190101,2019,52,2019,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.922,False,15,False,4.0,False,False,147275.589,147275.589,0,True,False
C,A,20190101,2019,52,2019,466,MLI,Mali,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.46,False,8,False,0.46,False,False,15453.71,15453.71,0,True,False
C,A,20190101,2019,52,2019,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1983.269,False,15,False,1973.0,False,False,79807510.98,79807510.98,0,True,False
C,A,20200101,2020,52,2020,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.7,False,8,False,4.7,False,False,245216.015,245216.015,0,True,False
C,A,20200101,2020,52,2020,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,Not Reported,0.0,False,15,False,3.0,False,False,153492.867,153492.867,0,True,False
C,A,20200101,2020,52,2020,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2404.0,False,8,False,2404.0,False,False,131125589.0,131125589.0,0,False,True
C,A,20200101,2020,52,2020,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,794.0,False,8,False,794.0,False,False,36924675.0,36924675.0,0,True,False
C,A,20200101,2020,52,2020,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,3200,Road,8,kg,1610.0,False,8,False,1610.0,False,False,94200914.0,94200914.0,0,True,False
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23.79,False,8,False,23.79,False,False,1318752.784,1318752.784,0,True,False
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20180101,2018,52,2018,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,2.651,True,-1,False,2.651,True,False,105126.684,105126.684,6,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,True,False
